RT_Scan_ID,RT_Scan_Name,Scan_Date,Target_FQDN,Target_IPv4,Finding_UID,Vulnerability_Title,CVE_References,CVSS3_Score,Risk_Rating,Plugin_Group,Affected_Package,Installed_Version,Exploit_Available,Patch_Available,First_Detected,Last_Scanned,Notes
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-api-01,10.10.2.10,F-10001,Apache Log4j2 Remote Code Execution (Log4Shell),CVE-2021-44228,10.0,CRITICAL,Java Application Servers,log4j-core,2.14.1,Y,Y,2021-12-12,2026-05-31,JNDI lookup in user-supplied strings enables arbitrary code execution. CISA KEV listed. Immediate patch required.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-api-01,10.10.2.10,F-10002,Apache Log4j2 Context Lookup RCE (Log4Shell variant),CVE-2021-45046,9.0,CRITICAL,Java Application Servers,log4j-core,2.14.1,Y,Y,2021-12-15,2026-05-31,Secondary Log4Shell variant via thread context map pattern. Affects same versions as CVE-2021-44228.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-api-01,10.10.2.10,F-10003,Spring Framework Remote Code Execution (Spring4Shell),CVE-2022-22965,9.8,CRITICAL,Java Application Servers,spring-webmvc,5.3.17,Y,Y,2022-03-31,2026-05-31,ClassLoader manipulation via DataBinder on JDK 9+. CISA KEV listed.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-api-01,10.10.2.10,F-10004,curl SOCKS5 Heap Buffer Overflow,CVE-2023-38545,9.8,CRITICAL,OS / Package Management,curl,7.88.1,Y,Y,2023-10-11,2026-05-31,Heap overflow triggered by SOCKS5 proxy with excessively long hostname.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-api-01,10.10.2.10,F-10005,OpenSSL C_Rehash Shell Command Injection,CVE-2022-2068,9.8,CRITICAL,Cryptographic Libraries,openssl,1.1.1n,Y,Y,2022-06-21,2026-05-31,c_rehash script insufficiently sanitises shell metacharacters.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-api-02,10.10.2.11,F-10006,Apache Log4j2 Remote Code Execution (Log4Shell),CVE-2021-44228,10.0,CRITICAL,Java Application Servers,log4j-core,2.15.0,Y,Y,2021-12-12,2026-05-31,Version 2.15.0 incompletely patches CVE-2021-44228; upgrade to 2.17.1+.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-api-02,10.10.2.11,F-10007,Apache Commons Text RCE (Text4Shell),CVE-2022-42889,9.8,CRITICAL,Java Application Servers,commons-text,1.9.0,Y,Y,2022-10-17,2026-05-31,String interpolation in StringSubstitutor with script/url/dns lookups allows RCE.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,vpn-gw-01,10.10.0.5,F-10008,PAN-OS GlobalProtect Command Injection,CVE-2024-3400,10.0,CRITICAL,Network Appliances / VPN,PAN-OS,11.0.3,Y,Y,2024-04-12,2026-05-31,OS command injection in GlobalProtect feature. Exploited in the wild. CISA KEV listed. Patch immediately or apply workaround.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,fortigate-fw-01,10.10.0.1,F-10009,FortiOS SSL-VPN Out-of-Bound Write,CVE-2024-21762,9.6,CRITICAL,Network Appliances / Firewall,FortiOS,7.4.2,Y,Y,2024-02-08,2026-05-31,Unauthenticated OOB write via specially crafted HTTP requests. CISA KEV listed.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,fortigate-fw-01,10.10.0.1,F-10010,FortiOS SSL-VPN Heap Buffer Overflow,CVE-2023-27997,9.8,CRITICAL,Network Appliances / Firewall,FortiOS,7.2.4,Y,Y,2023-06-12,2026-05-31,Pre-authentication heap overflow reachable without user interaction.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,mail-srv-01,10.10.4.10,F-10011,Microsoft Exchange Server SSRF (ProxyLogon),CVE-2021-26855,9.8,CRITICAL,Mail Servers,Microsoft Exchange Server,2019 CU8,Y,Y,2021-03-02,2026-05-31,Server-side request forgery allows unauthenticated attackers to send arbitrary HTTP requests as the Exchange server. CISA KEV listed.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,mail-srv-01,10.10.4.10,F-10012,Microsoft Outlook NTLM Hash Leak (CVE-2023-23397),CVE-2023-23397,9.8,CRITICAL,Mail Servers,Microsoft Outlook,2019 16.0.14326,Y,Y,2023-03-14,2026-05-31,Zero-click Outlook vulnerability leaks Net-NTLMv2 hashes via crafted appointment. CISA KEV listed.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-web-01,10.10.1.10,F-10013,Citrix NetScaler Information Disclosure (Citrix Bleed),CVE-2023-4966,9.4,CRITICAL,Web Application Delivery,Citrix NetScaler ADC,13.1-48.47,Y,Y,2023-10-10,2026-05-31,Buffer over-read exposes session tokens; allows session hijacking without credentials. CISA KEV listed.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-web-01,10.10.1.10,F-10014,HTTP/2 Rapid Reset DDoS Amplification,CVE-2023-44487,7.5,HIGH,Web Servers,nginx,1.24.0,Y,Y,2023-10-10,2026-05-31,Attacker cancels requests immediately causing server-side stream resets leading to amplified DoS.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-web-01,10.10.1.10,F-10015,OpenSSL X.509 Email Address Buffer Overflow,CVE-2022-3602,7.5,HIGH,Cryptographic Libraries,openssl,3.0.5,N,Y,2022-11-01,2026-05-31,Punycode decoder buffer overflow during certificate verification. Severity downgraded after analysis.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-web-02,10.10.1.11,F-10016,HTTP/2 Rapid Reset DDoS Amplification,CVE-2023-44487,7.5,HIGH,Web Servers,nginx,1.24.0,Y,Y,2023-10-10,2026-05-31,Same as F-10014 on secondary web node.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-web-02,10.10.1.11,F-10017,OpenSSL X.509 Email Address Buffer Overflow (variant),CVE-2022-3786,7.5,HIGH,Cryptographic Libraries,openssl,3.0.5,N,Y,2022-11-01,2026-05-31,Related buffer overflow — infinite loop in certificate parsing.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-db-primary-01,10.10.3.10,F-10018,OpenSSH Pre-Authentication Remote Code Execution,CVE-2023-38408,9.8,CRITICAL,Remote Access,openssh-server,8.9p1,Y,Y,2023-07-19,2026-05-31,RCE via ssh-agent forwarding exploit chain in ssh-pkcs11-helper. Affects OpenSSH < 9.3p2.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-db-primary-01,10.10.3.10,F-10019,Linux Kernel Dirty Pipe Local Privilege Escalation,CVE-2022-0847,7.8,HIGH,Operating System Kernel,linux-kernel,5.15.0-91-generic,Y,Y,2022-03-07,2026-05-31,Incorrectly initialised pipe buffer flags allow overwriting read-only files. Affects kernels 5.8 – 5.16.11.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-db-primary-01,10.10.3.10,F-10020,curl SOCKS5 Heap Buffer Overflow,CVE-2023-38545,9.8,CRITICAL,OS / Package Management,curl,7.68.0,Y,Y,2023-10-11,2026-05-31,Same heap overflow as F-10004; database host running older curl.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-db-primary-01,10.10.3.10,F-10021,Sudo Heap-Based Buffer Overflow (Baron Samedit),CVE-2021-3156,7.8,HIGH,OS / Package Management,sudo,1.8.31,Y,Y,2021-01-26,2026-05-31,Off-by-one error allows any local user to obtain root without authentication.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-db-primary-01,10.10.3.10,F-10022,OpenSSL Infinite Loop Denial of Service,CVE-2022-0778,7.5,HIGH,Cryptographic Libraries,openssl,1.1.1m,N,Y,2022-03-15,2026-05-31,BN_mod_sqrt() enters infinite loop on malformed elliptic curve certificates.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-ldap-01,10.10.6.10,F-10023,OpenSSH Pre-Authentication Remote Code Execution,CVE-2023-38408,9.8,CRITICAL,Remote Access,openssh-server,8.8p1,Y,Y,2023-07-19,2026-05-31,LDAP host running vulnerable OpenSSH version.
